"id","project_code","project_identifier","contract_id","contract_name","contract_location","contract_amount","contract_duration","implementing_office","nature_of_work","date_of_noa","date_of_contract","license","date_of_ntp","status","deleted_at","created_at","updated_at"
"1","24N00096-GIJVEC","TAGO BRIDGE 4","24N00096","TAGO-LA PAZ BYPASS ROAD, SURIGAO DEL SUR","TAGO, SURIGAO DEL SUR","144237839","240 CD","DEPARTMENT OF PUBLIC WORKS AND HIGHWAYS - REGIONAL OFFICE XIII - CARAGA","BRIDGE","1/2/2024","9/2/2024","GICAR CONSTRUCTION, INC./EVENPAR CONSTRUCTION AND DEVELOPMENT CORPORATION (JOINT VENTURE)","19/2/2024","ongoing",,"2/4/2024 02:09:11","18/9/2024 03:48:26"
"2","24NH0044-MEJVEC","24NH0044","24NH0044","CONSTRUCTION OF FLOOD CONTROL STRUCTURE ALONG TAGO RIVER, ABUTMENT A, SAN MIGUEL, SURIGAO DEL SUR","SAN MIGUEL, SURIGAO DEL SUR","96015803","237 CD","DPWH - SURIGAO DEL SUR 1st DISTRICT ENGINEERING OFFICE","FLOOD CONTROL","29/2/2024","6/3/2024","ME3 CONSTRUCTION/EVENPAR CONSTRUCTION AND DEVELOPMENT CORPORATION (JOINT VENTURE)","8/3/2024","ongoing",,"2/4/2024 02:10:37","30/4/2024 06:46:30"
"3","24N00001-MEJVEC-R","123","24N00001","CANTILAN-MADRID BYPASS ROAD (SDCR ALTERNATE ROUTE), SURIGAO DEL SUR","MADRID, SURIGAO DEL SUR","33261842","150 CD","DEPARTMENT OF PUBLIC WORKS AND HIGHWAYS - REGIONAL OFFICE XIII - CARAGA","ROAD CONCRETING","31/1/2024","9/2/2024","ME3 CONSTRUCTION/EVENPAR CONSTRUCTION AND DEVELOPMENT CORPORATION (JOINT VENTURE)","19/2/2024","ongoing","19/11/2024 00:34:22","29/4/2024 06:20:00","19/11/2024 00:34:22"
"4","24N00083-MEJVEC","123","24N00083","CONSTRUCTION OF FLOOD MITIGATION STRUCTURE ALONG AGUSAN RIVER (AMBACON SECTION) DOWNSTREAM, PHASE 2, LAS NIEVES, AGUSAN DEL NORTE","LAS NIEVES, AGUSAN DEL NORTE","152069141","270 CD","DEPARTMENT OF PUBLIC WORKS AND HIGHWAYS - REGIONAL OFFICE XIII - CARAGA","FLOOD CONTROL","5/2/2024","14/2/2024","ME3 CONSTRUCTION/EVENPAR CONSTRUCTION AND DEVELOPMENT CORPORATION (JOINT VENTURE)","21/2/2024","ongoing",,"29/4/2024 06:34:06","30/4/2024 06:49:24"
"5","24N00084-MEJVEC","123","24N00084","CONSTRUCTION OF FLOOD MITIGATION STRUCTURE ALONG AGUSAN RIVER (AMBACON SECTION) UPSTREAM, PHASE 2, LAS NIEVES, AGUSAN DEL NORTE","LAS NIEVES, AGUSAN DEL NORTE","152079623","240 CD","DEPARTMENT OF PUBLIC WORKS AND HIGHWAYS - REGIONAL OFFICE XIII - CARAGA","FLOOD CONTROL","5/2/2024","14/2/2024","ME3 CONSTRUCTION/EVENPAR CONSTRUCTION AND DEVELOPMENT CORPORATION (JOINT VENTURE)","21/2/2024","ongoing",,"29/4/2024 06:41:06","30/4/2024 06:50:07"
"6","24LGU001-MEJVEC","123","24LGU001","UPGRADING/IMPROVEMENT/CONSTRUCTION OF BALANG-BALANG - SAN ANTONIO - KAUNLARAN FARM TO MARKET ROAD (PHASE I), RTR, AGUSAN DEL NORTE","RTR, AGUSAN DEL NORTE","69991143","240 CD","PROVINCIAL GOVERNMENT OF AGUSAN DEL NORTE","ROAD CONCRETING","13/2/2024","6/3/2024","ME3 CONSTRUCTION/EVENPAR CONSTRUCTION AND DEVELOPMENT CORPORATION (JOINT VENTURE)","6/3/2024","ongoing",,"29/4/2024 06:48:29","30/4/2024 06:51:45"
"7","24NI0051-MEJVEC","123","24NI0051","CONSTRUCTION OF BANK REVETMENT ALONG BISLIG RIVER (BURBOANAN SECTION), BISLIG CITY, SURIGAO DEL SUR","BURBOANAN, BISLIG CITY, SURIGAO DEL SUR","95506044","346 CD","DPWH - SURIGAO DEL SUR 2nd DISTRICT ENGINEERING OFFICE","FLOOD CONTROL","22/3/2024","1/4/2024","ME3 CONSTRUCTION/EVENPAR CONSTRUCTION AND DEVELOPMENT CORPORATION (JOINT VENTURE)","4/4/2024","ongoing",,"29/4/2024 06:58:57","30/4/2024 06:53:13"
"8","24NI0058-MEJVEC","123","24NI0058","CONSTRUCTION OF BANK REVETMENT ALONG BISLIG RIVER (PAMANLINAN SECTION), BISLIG CITY, SURIGAO DEL SUR","PAMANLINAN, BISLIG CITY, SURIGAO DEL SUR","96200356","346 CD","DPWH - SURIGAO DEL SUR 2nd DISTRICT ENGINEERING OFFICE","FLOOD CONTROL","26/3/2024","5/4/2024","ME3 CONSTRUCTION/EVENPAR CONSTRUCTION AND DEVELOPMENT CORPORATION (JOINT VENTURE)","8/4/2024","ongoing",,"29/4/2024 07:05:46","30/4/2024 06:54:00"
"9","24N00102-RRJVEC","123","24N00102","LABAO BR. (B00906MN) ALONG DAANG MAHARLIKA (AGUSAN - DAVAO SECT)","BAYUGAN CITY, AGUSAN DEL SUR","18112692","150 CD","DEPARTMENT OF PUBLIC WORKS AND HIGHWAYS - REGIONAL OFFICE XIII - CARAGA","BRIDGE","18/4/2024","1/1/2001","REYROSE CONSTRUCTION AND SUPPLY DEVELOPMENT CORPORATION/EVENPAR CONSTRUCTION AND DEVELOPMENT CORPORATION (JOINT VENTURE)","1/1/2001","ongoing",,"29/4/2024 07:16:32","30/4/2024 06:55:28"
"10","24N00151-UKJVEC","123","24N00151","LAS NIEVES BRIDGE ALONG NRJ AGUSAN - MALAYBALAY ROAD - BRGY. AMBACON - BRGY. MALICATO - NRJ DAANG MAHARLIKA, PHASE 7, AGUSAN DEL NORTE","LAS NIEVES, AGUSAN DEL NORTE","358044575","330 CD","DEPARTMENT OF PUBLIC WORKS AND HIGHWAYS - REGIONAL OFFICE XIII - CARAGA","BRIDGE","26/4/2024","1/1/2001","UKC BUILDERS, INC./EVENPAR CONSTRUCTION AND DEVELOPMENT CORPORATION (JOINT VENTURE)","1/1/2001","ongoing",,"29/4/2024 07:22:16","30/4/2024 06:57:15"
